DATAFLOW,MEASURE: Type of Visa,MIGRATIONTYPE: Migration Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment,REPYEAREND: Reporting Year End Day
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2012,2530,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2013,1970,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2014,2070,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2015,2340,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2016,3530,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2017,3900,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2018,5580,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2019,5590,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2020,3080,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2021,20,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2022,4800,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2012,2010,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2013,2030,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2014,2290,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2015,2270,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2016,2170,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2017,2030,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2018,1640,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2019,1820,PSNS: Persons,,,30-6: Year Ending 30 June
