DATAFLOW,MEASURE: Measure,AGE: Age,SEX: Sex,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment,REPYEAREND: Reporting Year End Day
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,4: South Australia,A: Annual,2005,3780,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,4: South Australia,A: Annual,2006,3870,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,4: South Australia,A: Annual,2007,4020,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,4: South Australia,A: Annual,2008,4620,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,4: South Australia,A: Annual,2009,4310,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,4: South Australia,A: Annual,2010,4840,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,4: South Australia,A: Annual,2011,5110,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,4: South Australia,A: Annual,2012,5070,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,4: South Australia,A: Annual,2013,5100,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,4: South Australia,A: Annual,2014,5480,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,4: South Australia,A: Annual,2015,5530,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,4: South Australia,A: Annual,2016,5630,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,4: South Australia,A: Annual,2017,5500,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,4: South Australia,A: Annual,2018,5430,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,4: South Australia,A: Annual,2019,5580,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,4: South Australia,A: Annual,2020,6020,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,4: South Australia,A: Annual,2021,4210,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,4: South Australia,A: Annual,2022,4310,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,8: Australian Capital Territory,A: Annual,2005,2160,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,8: Australian Capital Territory,A: Annual,2006,2180,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,8: Australian Capital Territory,A: Annual,2007,2060,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,8: Australian Capital Territory,A: Annual,2008,2290,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,8: Australian Capital Territory,A: Annual,2009,2150,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,8: Australian Capital Territory,A: Annual,2010,2400,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,8: Australian Capital Territory,A: Annual,2011,2580,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,8: Australian Capital Territory,A: Annual,2012,2500,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,8: Australian Capital Territory,A: Annual,2013,2690,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,8: Australian Capital Territory,A: Annual,2014,3020,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,8: Australian Capital Territory,A: Annual,2015,2870,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,8: Australian Capital Territory,A: Annual,2016,2950,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,8: Australian Capital Territory,A: Annual,2017,2990,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,8: Australian Capital Territory,A: Annual,2018,3060,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,8: Australian Capital Territory,A: Annual,2019,3490,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,8: Australian Capital Territory,A: Annual,2020,3520,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,8: Australian Capital Territory,A: Annual,2021,2910,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),2: NOM departures,TOT: All ages,2: Females,8: Australian Capital Territory,A: Annual,2022,2600,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,2: Females,AUS: Australia,A: Annual,2005,163380,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,2: Females,AUS: Australia,A: Annual,2006,179260,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,2: Females,AUS: Australia,A: Annual,2007,204500,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,2: Females,AUS: Australia,A: Annual,2008,236210,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,2: Females,AUS: Australia,A: Annual,2009,247410,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,2: Females,AUS: Australia,A: Annual,2010,214380,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,2: Females,AUS: Australia,A: Annual,2011,212370,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,2: Females,AUS: Australia,A: Annual,2012,227310,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,2: Females,AUS: Australia,A: Annual,2013,235610,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,2: Females,AUS: Australia,A: Annual,2014,231230,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,2: Females,AUS: Australia,A: Annual,2015,232270,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,2: Females,AUS: Australia,A: Annual,2016,245980,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,2: Females,AUS: Australia,A: Annual,2017,269420,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,2: Females,AUS: Australia,A: Annual,2018,260310,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,2: Females,AUS: Australia,A: Annual,2019,273080,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,2: Females,AUS: Australia,A: Annual,2020,258130,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,2: Females,AUS: Australia,A: Annual,2021,71580,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,TOT: All ages,2: Females,AUS: Australia,A: Annual,2022,196060,NUM: Number,,,30-6: Year Ending 30 June
