DATAFLOW,MEASURE: Type of Visa,MIGRATIONTYPE: Migration Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment,REPYEAREND: Reporting Year End Day
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2005,2300,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2006,3630,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2007,7130,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2008,10130,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2009,20180,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2010,8750,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2011,3010,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2012,2530,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2013,1970,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2014,2070,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2015,2340,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2016,3530,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2017,3900,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2018,5580,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2019,5590,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2020,3080,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2021,20,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),2: Temporary visa - Vocational Education and Training sector,1: NOM arrivals,2: Victoria,A: Annual,2022,4800,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2005,1860,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2006,1690,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2007,1960,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2008,2360,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2009,2390,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2010,2230,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2011,2050,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2012,2010,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2013,2030,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2014,2290,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2015,2270,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2016,2170,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2017,2030,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2018,1640,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2019,1820,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2020,1420,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2021,50,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),4: Temporary visa - Student other,1: NOM arrivals,5: Western Australia,A: Annual,2022,1140,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2005,17100,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2006,27730,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2007,35850,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2008,44010,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2009,44060,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2010,26270,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2011,35600,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2012,47880,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2013,43460,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2014,32870,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2015,31490,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2016,30490,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2017,32690,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2018,26940,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2019,32600,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2020,22840,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2021,8950,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),5: Temporary visa - Temporary work (skilled),1: NOM arrivals,AUS: Australia,A: Annual,2022,22470,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2005,390,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2006,400,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2007,480,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2008,570,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2009,580,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2010,580,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2011,600,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2012,620,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2013,640,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2014,600,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2015,670,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2016,700,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2017,800,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2018,1120,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2019,1350,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2020,2190,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2021,120,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),6: Temporary visa - Visitor,1: NOM arrivals,8: Australian Capital Territory,A: Annual,2022,800,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2005,110,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2006,110,PSNS: Persons,,,30-6: Year Ending 30 June
ABS:ABS_NOM_VISA_FY(1.0.0),7: Temporary visa - Working Holiday,1: NOM arrivals,7: Northern Territory,A: Annual,2007,230,PSNS: Persons,,,30-6: Year Ending 30 June
