DATAFLOW,MEASURE: Measure,AGE: Age,SEX: Sex,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment,REPYEAREND: Reporting Year End Day
ABS:NOM_FY(1.0.0),1: NOM arrivals,A55: 55-59,1: Males,AUS: Australia,A: Annual,2012,4910,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,A55: 55-59,1: Males,AUS: Australia,A: Annual,2013,4850,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,A55: 55-59,1: Males,AUS: Australia,A: Annual,2014,4240,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,A55: 55-59,1: Males,AUS: Australia,A: Annual,2015,4370,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,A55: 55-59,1: Males,AUS: Australia,A: Annual,2016,4570,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,A55: 55-59,1: Males,AUS: Australia,A: Annual,2017,5090,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,A55: 55-59,1: Males,AUS: Australia,A: Annual,2018,4540,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,A55: 55-59,1: Males,AUS: Australia,A: Annual,2019,5620,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,A55: 55-59,1: Males,AUS: Australia,A: Annual,2020,7890,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,A55: 55-59,1: Males,AUS: Australia,A: Annual,2021,2940,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,A55: 55-59,1: Males,AUS: Australia,A: Annual,2022,3680,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,A10: 10-14,2: Females,7: Northern Territory,A: Annual,2012,130,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,A10: 10-14,2: Females,7: Northern Territory,A: Annual,2013,130,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,A10: 10-14,2: Females,7: Northern Territory,A: Annual,2014,80,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,A10: 10-14,2: Females,7: Northern Territory,A: Annual,2015,90,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,A10: 10-14,2: Females,7: Northern Territory,A: Annual,2016,110,NUM: Number,,,30-6: Year Ending 30 June
ABS:NOM_FY(1.0.0),1: NOM arrivals,A10: 10-14,2: Females,7: Northern Territory,A: Annual,2017,110,NUM: Number,,,30-6: Year Ending 30 June
