,Monthly hours worked in all jobs ;  Persons ;,Monthly hours worked in all jobs ;  Persons ;,Monthly hours worked in all jobs ;  > Males ;,Monthly hours worked in all jobs ;  > Males ;,Monthly hours worked in all jobs ;  > Females ;,Monthly hours worked in all jobs ;  > Females ;,> Monthly hours worked in all jobs (employed full-time) ;  Persons ;,> Monthly hours worked in all jobs (employed full-time) ;  Persons ;,> Monthly hours worked in all jobs (employed full-time) ;  > Males ;,> Monthly hours worked in all jobs (employed full-time) ;  > Males ;,> Monthly hours worked in all jobs (employed full-time) ;  > Females ;,> Monthly hours worked in all jobs (employed full-time) ;  > Females ;,> Monthly hours worked in all jobs (employed part-time) ;  Persons ;,> Monthly hours worked in all jobs (employed part-time) ;  Persons ;,> Monthly hours worked in all jobs (employed part-time) ;  > Males ;,> Monthly hours worked in all jobs (employed part-time) ;  > Males ;,> Monthly hours worked in all jobs (employed part-time) ;  > Females ;,> Monthly hours worked in all jobs (employed part-time) ;  > Females ;,Monthly hours worked in all jobs ;  > New South Wales ;,Monthly hours worked in all jobs ;  > New South Wales ;,Monthly hours worked in all jobs ;  > Victoria ;,Monthly hours worked in all jobs ;  > Victoria ;,Monthly hours worked in all jobs ;  > Queensland ;,Monthly hours worked in all jobs ;  > Queensland ;,Monthly hours worked in all jobs ;  > South Australia ;,Monthly hours worked in all jobs ;  > South Australia ;,Monthly hours worked in all jobs ;  > Western Australia ;,Monthly hours worked in all jobs ;  > Western Australia ;,Monthly hours worked in all jobs ;  > Tasmania ;,Monthly hours worked in all jobs ;  > Tasmania ;,Monthly hours worked in all jobs ;  > Northern Territory ;,Monthly hours worked in all jobs ;  > Australian Capital Territory ;
Unit,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours
Series Type,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Trend
Data Type,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW
Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month
Collection Month,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Series Start,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978
Series End,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023
No. Obs,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537
Series ID,A84426286A,A84426277X,A84426283V,A84426274T,A84426289J,A84426280L,A84426287C,A84426278A,A84426284W,A84426275V,A84426290T,A84426281R,A84426288F,A84426279C,A84426285X,A84426276W,A84426291V,A84426282T,A84426258T,A84426249R,A84426265R,A84426256L,A84426259V,A84426250X,A84426266T,A84426257R,A84426263K,A84426254J,A84426260C,A84426251A,A84426264L,A84426262J
Jul-1978,908307.0,907752.1,637746.8,637367.9,270560.2,270384.1,848172.1,847386.5,623893.1,623544.1,224279.1,223842.4,60134.9,60365.6,13853.7,13823.9,46281.1,46541.7,320482.9,320000.5,246548.9,249340.6,133329.3,131967.5,81979.9,82243.5,79488.0,79438.1,24702.4,24554.4,7225.5,13773.1
